Model,Test_MSE_Scaled,MSE_1D,RMSE_1D,MAE_1D,MAPE_1D,MSE_5D,RMSE_5D,MAE_5D,MAPE_5D,MSE_10D,RMSE_10D,MAE_10D,MAPE_10D
SimpleRNN_Baseline,0.004185451660305262,298.83184814453125,17.286753545548432,13.461668014526367,4.599306,714.4649658203125,26.729477470020107,20.98833465576172,7.489725,925.887451171875,30.42839876122099,23.219396591186523,7.94553
SimpleRNN_Tuned,0.004128823056817055,282.39404296875,16.804583986780216,13.202099800109863,4.6689878,654.2149658203125,25.57762627415438,19.949705123901367,7.0740914,882.3119506835938,29.703736308477993,23.106277465820312,8.080763
LSTM_Baseline,0.003925134427845478,296.9768371582031,17.23301590431005,13.041666984558105,4.4147534,548.1848754882812,23.413348233182738,17.887832641601562,6.192789,860.910888671875,29.341283009982284,22.86164665222168,7.9051256
LSTM_Tuned,0.0038617330137640238,218.37789916992188,14.777614799754454,11.309484481811523,3.7961564,504.8245849609375,22.468301781864547,17.11385154724121,5.881123,824.6130981445312,28.716077346053574,22.37110137939453,7.7152834
